RF00004	Gene; snRNA; splicing;	U2 spliceosomal RNA
RF00008	Gene; ribozyme;	Hammerhead ribozyme (type III)
RF00024	Gene;	Vertebrate telomerase RNA
RF00028	Intron;	Group I catalytic intron
RF00029	Intron;	Group II catalytic intron
RF00032	Cis-reg;	Histone 3' UTR stem-loop
RF00036	Cis-reg;	HIV Rev response element
RF00041	Cis-reg;	Enteroviral 3' UTR element
RF00044	Gene;	Bacteriophage pRNA
RF00048	Cis-reg;	Enterovirus cis-acting replication element
RF00061	Cis-reg; IRES;	Hepatitis C virus internal ribosome entry site
RF00094	Gene; ribozyme;	Hepatitis delta virus ribozyme
RF00102	Gene;	VA RNA
RF00106	Gene; antisense;	RNAI
RF00164	Cis-reg;	Coronavirus 3' stem-loop II-like motif (s2m)
RF00165	Cis-reg;	Coronavirus 3' UTR pseudoknot
RF00170	Gene;	Retron msr RNA
RF00171	Cis-reg;	Tombusvirus 5' UTR
RF00173	Gene; ribozyme;	Hairpin ribozyme
RF00175	Cis-reg;	Human immunodeficiency virus type 1 dimerisation initiation site
RF00176	Cis-reg;	Tombusvirus 3' UTR region IV
RF00182	Cis-reg;	Coronavirus packaging signal
RF00184	Cis-reg;	Potato virus X cis-acting regulatory element
RF00185	Cis-reg;	Flavivirus 3' UTR cis-acting replication element (CRE)
RF00192	Cis-reg;	Bovine leukaemia virus RNA packaging signal
RF00193	Cis-reg;	Citrus tristeza virus replication signal
RF00194	Cis-reg;	Rubella virus 3' cis-acting element
RF00196	Cis-reg;	Alfalfa mosaic virus RNA 1 5' UTR stem-loop
RF00209	Cis-reg; IRES;	Pestivirus internal ribosome entry site (IRES)
RF00210	Cis-reg; IRES;	Aphthovirus internal ribosome entry site (IRES)
RF00214	Cis-reg;	Retrovirus direct repeat 1 (dr1)
RF00215	Cis-reg;	Tombus virus defective interfering (DI) RNA region 3
RF00220	Cis-reg;	Human rhinovirus internal cis-acting regulatory element (CRE)
RF00225	Cis-reg; IRES;	Tobamovirus internal ribosome entry site (IRES)
RF00228	Cis-reg; IRES;	Hepatitis A virus internal ribosome entry site (IRES)
RF00229	Cis-reg; IRES;	Picornavirus internal ribosome entry site (IRES)
RF00233	Cis-reg;	Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element
RF00250	Gene; miRNA;	Trans-activation response element (TAR)
RF00252	Cis-reg;	Alfalfa mosaic virus coat protein binding (CPB) RNA
RF00260	Cis-reg;	Hepatitis C virus (HCV) cis-acting replication element (CRE)
RF00262	Gene; antisense;	sar RNA
RF00290	Cis-reg;	Bamboo mosaic potexvirus (BaMV) cis-regulatory element
RF00363	Gene; miRNA;	mir-BART1 microRNA precursor family
RF00364	Gene; miRNA;	mir-BART2 microRNA precursor family
RF00365	Gene; miRNA;	mir-BHRF1-1 microRNA precursor family
RF00366	Gene; miRNA;	mir-BHRF1-2 microRNA precursor family
RF00367	Gene; miRNA;	mir-BHRF1-3 microRNA precursor family
RF00374	Cis-reg;	Gammaretrovirus core encapsidation signal
RF00375	Cis-reg;	HIV primer binding site (PBS)
RF00376	Cis-reg;	HIV gag stem loop 3 (GSL3)
RF00384	Cis-reg;	Poxvirus AX element late mRNA cis-regulatory element
RF00385	Cis-reg;	Infectious bronchitis virus D-RNA
RF00386	Cis-reg;	Enterovirus 5' cloverleaf cis-acting replication element
RF00389	Cis-reg;	Bamboo mosaic virus satellite RNA cis-regulatory element
RF00390	Cis-reg;	UPSK RNA
RF00434	Cis-reg;	Luteovirus cap-independent translation element (BTE)
RF00448	Cis-reg; IRES;	Epstein-Barr virus nuclear antigen (EBNA) IRES
RF00453	Cis-reg;	Cardiovirus cis-acting replication element (CRE)
RF00458	Cis-reg; IRES;	Cripavirus internal ribosome entry site (IRES)
RF00459	Cis-reg;	Mason-Pfizer monkey virus packaging signal
RF00465	Cis-reg;	Japanese encephalitis virus (JEV) hairpin structure
RF00467	Cis-reg;	Rous sarcoma virus (RSV) primer binding site (PBS)
RF00468	Cis-reg;	Hepatitis C virus stem-loop VII
RF00469	Cis-reg;	Hepatitis C stem-loop IV
RF00470	Cis-reg;	Togavirus 5' plus strand cis-regulatory element
RF00480	Cis-reg; frameshift_element;	HIV Ribosomal frameshift signal
RF00481	Cis-reg;	Hepatitis C virus 3'X element
RF00496	Cis-reg;	Coronavirus SL-III cis-acting replication element (CRE)
RF00498	Cis-reg; leader;	Equine arteritis virus leader TRS hairpin (LTH)
RF00499	Cis-reg;	Human parechovirus 1 (HPeV1) cis regulatory element (CRE)
RF00500	Cis-reg;	Turnip crinkle virus (TCV) repressor of minus strand synthesis H5
RF00501	Cis-reg;	Rotavirus cis-acting replication element (CRE)
RF00502	Cis-reg;	Turnip crinkle virus (TCV) core promoter hairpin (Pr)
RF00507	Cis-reg; frameshift_element;	Coronavirus frameshifting stimulation element
RF00510	Cis-reg;	Tombusvirus internal replication element (IRE)
RF00511	Cis-reg; IRES;	Kaposi's sarcoma-associated herpesvirus internal ribosome entry site
RF00524	Cis-reg;	R2 RNA element
RF00525	Cis-reg;	Flavivirus DB element
RF00550	Cis-reg;	Hepatitis E virus cis-reactive element
RF00617	Cis-reg;	flavivirus capsid hairpin cHP
RF00620	Cis-reg;	Hepatitis C alternative reading frame stem-loop
RF00863	Gene; miRNA;	microRNA mir-BART17
RF00864	Gene; miRNA;	microRNA mir-BART20
RF00866	Gene; miRNA;	microRNA mir-BART3
RF00867	Gene; miRNA;	microRNA mir-BART5
RF00868	Gene; miRNA;	microRNA mir-BART15
RF00869	Gene; miRNA;	microRNA mir-BART7
RF00874	Gene; miRNA;	microRNA mir-BART12
RF01009	Gene; miRNA;	microRNA mir-M7
RF01047	Cis-reg;	HBV RNA encapsidation signal epsilon
RF01051	Cis-reg;	Cyclic di-GMP-I riboswitch
RF01072	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01073	Cis-reg;	Gag/pol translational readthrough site
RF01074	Cis-reg; frameshift_element;	Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF01075	Cis-reg;	Pseudoknot of tRNA-like structure
RF01076	Cis-reg; frameshift_element;	Polymerase ribosomal frameshift site
RF01077	Cis-reg;	Pseudoknot of tRNA-like structure
RF01078	Cis-reg;	3'-terminal pseudoknot in PYVV
RF01079	Cis-reg; frameshift_element;	Putative RNA-dependent RNA polymerase ribosomal frameshift site
RF01080	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01081	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01082	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01083	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01084	Cis-reg;	Pseudoknot of tRNA-like structure
RF01085	Cis-reg;	Pseudoknot of tRNA-like structure
RF01088	Cis-reg;	Pseudoknot of tRNA-like structure
RF01091	Cis-reg;	3'-terminal pseudoknot in SPCSV
RF01092	Cis-reg;	Gag/pol translational readthrough site
RF01094	Cis-reg; frameshift_element;	Polymerase ribosomal frameshift site
RF01095	Cis-reg;	3'-terminal pseudoknot of CuYV/BPYV
RF01096	Cis-reg;	HepA virus 3'-terminal pseudoknot
RF01097	Cis-reg; frameshift_element;	Gag/pro ribosomal frameshift site
RF01098	Cis-reg; frameshift_element;	Gag/pro ribosomal frameshift site
RF01099	Cis-reg;	Pseudoknot of influenza A virus gene
RF01100	Cis-reg;	3'-terminal pseudoknot in BYV
RF01101	Cis-reg;	Pseudoknot of tRNA-like structure
RF01102	Cis-reg; leader;	5'-leader pseudoknot of TEV/CVMV
RF01103	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01104	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01105	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01106	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01107	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01108	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01109	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01111	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01113	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01114	Cis-reg;	Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
RF01313	Cis-reg;	Avian HBV RNA encapsidation signal epsilon
RF01380	Cis-reg;	Human immunodeficiency virus type 1 major splice donor
RF01381	Cis-reg;	HIV-1 stem-loop 3 Psi packaging signal
RF01382	Cis-reg;	HIV-1 stem-loop 4 packaging signal
RF01386	Gene; sRNA;	isrB Hfq binding RNA
RF01394	Gene; sRNA;	isrK Hfq binding RNA
